wc_match_id,date,stage,round,home_team,away_team,host_side,elo_home_pre,elo_away_pre,hgb_H,hgb_D,hgb_A,pois_H,pois_D,pois_A,ens_H,ens_D,ens_A,xg_home,xg_away,ft_home,ft_away,result_90,hgb_pick,pois_pick,ens_pick,px_A,px_D,px_H,overround,mkt_H,mkt_D,mkt_A,mkt_pick,hours_before_kickoff,volume_usd,n_price_points,kick_ts,match_no,edge_H,edge_D,edge_A,edge_pick,max_edge_outcome,max_edge
70,2026-06-23,Group,Group L,Panama,Croatia,none,1800.8,1943.8,0.2252910754662667,0.27820648149432015,0.49650244303941315,0.23774249476947745,0.2450785080340294,0.5171789971964933,0.23151678511787208,0.2616424947641748,0.5068407201179532,1.0347242296634145,1.6490146853411953,0,1,A,A,A,A,0.665,0.225,0.125,1.0150000000000001,0.1231527093596059,0.22167487684729062,0.6551724137931034,A,10.998333333333335,17741112.112140987,401,1782255600,48,0.10836407575826618,0.03996761791688416,-0.1483316936751502,-0.1483316936751502,H,0.10836407575826618
5,2026-06-24,Group,Group A,Czech Republic,Mexico,away,1771.3,1998.8,0.08760552028829457,0.22508338756693252,0.6873110921447728,0.08476788322925885,0.17129616065498865,0.7439359561157524,0.08618670175877671,0.1981897741109606,0.7156235241302626,0.5878500967562027,2.196379536938191,0,3,A,A,A,A,0.545,0.235,0.215,0.995,0.21608040201005024,0.23618090452261306,0.5477386934673367,A,0.9984259259259259,17601136.074549463,413,1782349200,49,-0.12989370025127353,-0.037991130411652474,0.16788483066292592,0.16788483066292592,A,0.16788483066292592
6,2026-06-24,Group,Group A,South Africa,South Korea,none,1664.6,1887.4,0.18498337367993428,0.26816739350390356,0.5468492328161622,0.16886809013680168,0.21613557548281231,0.614996334380386,0.17692573190836797,0.24215148449335794,0.5809227835982741,0.893803366959691,1.9230876758634947,1,0,H,A,A,A,0.575,0.255,0.165,0.995,0.1658291457286432,0.2562814070351759,0.5778894472361809,A,0.9962962962962963,24555832.42418729,402,1782349200,50,0.011096586179724754,-0.01412992254181794,0.003033336362093242,0.003033336362093242,H,0.011096586179724754
11,2026-06-24,Group,Group B,Switzerland,Canada,away,1946.9,1884.5,0.2741668561542844,0.3111395131412775,0.41469363070443804,0.2958030225487899,0.27925079168770256,0.4249461857635076,0.2849849393515371,0.29519515241449,0.41981990823397286,1.027483802168251,1.2905988697222681,2,1,H,A,A,A,0.285,0.315,0.405,1.005,0.4029850746268657,0.31343283582089554,0.2835820895522388,H,6.993518518518518,15421582.762806084,393,1782327600,51,-0.1180001352753286,-0.018237683406405525,0.13623781868173407,0.13623781868173407,A,0.13623781868173407
12,2026-06-24,Group,Group B,Bosnia and Herzegovina,Qatar,none,1655.0,1576.0,0.45815603919032477,0.2925529187316612,0.2492910420780141,0.48393786596098065,0.2533519981986233,0.26271013584039593,0.4710469525756527,0.27295245846514227,0.256000588959205,1.5545382768775964,1.0754080978527936,3,1,H,H,H,H,0.115,0.175,0.705,0.9949999999999999,0.7085427135678393,0.17587939698492464,0.1155778894472362,H,6.994722222222222,10301516.458658952,390,1782327600,52,-0.23749576099218656,0.09707306148021763,0.14042269951196884,-0.23749576099218656,A,0.14042269951196884
17,2026-06-24,Group,Group C,Scotland,Brazil,none,1849.3,2071.9,0.20597111871182125,0.2612617320744699,0.5327671492137088,0.16903871223878564,0.2162288462557475,0.6147324415054669,0.18750491547530346,0.2387452891651087,0.5737497953595878,0.8941625020277654,1.9222765119802068,0,3,A,A,A,A,0.745,0.165,0.095,1.005,0.09452736318407962,0.16417910447761197,0.7412935323383085,A,9.993888888888888,11869748.775417952,390,1782338400,53,0.09297755229122384,0.07456618468749673,-0.16754373697872071,-0.16754373697872071,H,0.09297755229122384
18,2026-06-24,Group,Group C,Morocco,Haiti,none,2011.6,1668.2,0.7635369528707381,0.16187694933804408,0.07458609779121778,0.7819359483233871,0.1440065541891984,0.0740574974874145,0.7727364505970626,0.15294175176362124,0.07432179763931614,2.5244733925367715,0.6462983910230519,4,2,H,H,H,H,0.055,0.125,0.825,1.005,0.8208955223880597,0.12437810945273634,0.05472636815920399,H,9.994444444444445,27421053.197423164,428,1782338400,54,-0.0481590717909971,0.0285636423108849,0.01959542948011215,-0.0481590717909971,D,0.0285636423108849
23,2026-06-25,Group,Group D,Turkey,United States,away,1884.7,1917.7,0.22622956147037515,0.2724595792488097,0.5013108592808151,0.20900496072045316,0.25732147576570896,0.5336735635138379,0.21761726109541416,0.26489052750725933,0.5174922113973265,0.8550093491087698,1.5373779178650973,3,2,H,A,A,A,0.545,0.215,0.245,1.005,0.2437810945273632,0.2139303482587065,0.5422885572139304,A,1.997962962962963,47095247.46766452,412,1782439200,55,-0.026163833431949057,0.05096017924855284,-0.02479634581660395,-0.02479634581660395,D,0.05096017924855284
24,2026-06-25,Group,Group D,Paraguay,Australia,none,1900.8,1911.3,0.3223945294253545,0.288006195568403,0.38959927500624236,0.3776909062809625,0.2640279194238163,0.3582811742952211,0.35004271785315855,0.27601705749610966,0.37394022465073173,1.3191736698178738,1.2777681855771503,0,0,D,A,H,A,0.215,0.425,0.365,1.0050000000000001,0.36318407960199,0.42288557213930345,0.21393034825870644,D,1.9976851851851851,12439829.05483098,408,1782439200,56,-0.01314136174883146,-0.14686851464319378,0.1600098763920253,0.1600098763920253,A,0.1600098763920253
29,2026-06-25,Group,Group E,Curaçao,Ivory Coast,none,1614.2,1842.6,0.14144780577748778,0.15632141245953918,0.702230781762973,0.16454465362902515,0.21373125594766276,0.6217240904233121,0.15299622970325646,0.18502633420360098,0.6619774360931425,0.8846779120727782,1.943925531565407,0,2,A,A,A,A,0.8305,0.1165,0.0545,1.0015,0.05441837244133799,0.1163255117324014,0.8292561158262606,A,7.998148148148148,6493163.9849349875,395,1782417600,57,0.09857785726191848,0.06870082247119959,-0.16727867973311805,-0.16727867973311805,H,0.09857785726191848
30,2026-06-25,Group,Group E,Ecuador,Germany,none,1955.7,2029.5,0.29144180899819633,0.28968895020480495,0.4188692407969986,0.30740263617664354,0.26004567731425743,0.43255168650909903,0.2994222225874199,0.2748673137595312,0.4257104636530488,1.1746475209376717,1.443365571313302,2,1,H,A,A,A,0.6395,0.1885,0.1715,0.9994999999999999,0.17158579289644824,0.18859429714857429,0.6398199099549775,A,7.997407407407407,40096760.316451564,411,1782417600,58,0.12783642969097167,0.08627301661095693,-0.21410944630192869,-0.21410944630192869,H,0.12783642969097167
